Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
MORPH/DRAGONX Morpheus,$0.052689,2mo,27,27,27,0%,0.47%,2.44%,16.39%,$221K,$5.1M
Trumpius/SOL Trumpius Maximus,$0.0003672,2d,"3,707","3,707","3,707",-0.19%,0.02%,-25.71%,122%,$83K,$367K
EVAN/SOL Evan,$0.03141,1mo,"4,459","4,459","4,459",-1.45%,1.94%,2.01%,-4.84%,$1.0M,$31.4M
SVPN/WETH Shadow Node,$0.004383,9mo,117,117,117,0%,0.99%,9.94%,-10.75%,$509K,$4.3M
ARG/WETH Aragon Protocol,$1.34,1mo,53,53,53,0.49%,-0.20%,2.07%,-4.06%,$146K,$1.3M
BLENDR/WETH Blendr Network,$0.4763,10mo,140,140,140,-0.14%,0.55%,1.38%,2.62%,$1.2M,$19.0M
WHITE/USDC WhiteRock,$0.0002878,1mo,99,99,99,0%,-0.50%,-1.71%,-6.76%,$1.4M,$287.8M
FNX/USDB Fenix,$0.06459,1mo,11,11,11,0%,0%,-0.80%,-0.79%,$185K,$1.1M
PIXL/WETH PIXL,$0.09690,1y,69,69,69,0%,0.96%,0.55%,-5.58%,$923K,$48.4M
GURU/WETH Guru,$0.01956,24d,125,125,125,0%,-2.75%,-3.52%,-2.46%,$194K,$1.9M
TOAD/WETH Acid Toad,$0.081401,1mo,50,50,50,0%,-0.56%,-3.95%,13.58%,$127K,$589K
VIX/WETH VIX777,$0.0006374,1y,52,52,52,0%,2.74%,7.32%,48.60%,$103K,$571K
SIZE/SOL SizeChat,$0.003611,12h,"3,296","3,296","3,296",4.37%,4.30%,-15.75%,17.65%,$58K,$3.6M
STONKS/WETH Stonks,$0.041112,8mo,58,58,58,0%,0%,6.25%,-11.11%,$380K,$4.6M
$NXCP/WETH NYX CIPHER,$0.03728,3mo,69,69,69,0%,0%,4.72%,26.93%,$449K,$3.6M
PIRATE/BTCB PirateCash,$0.02335,11mo,366,366,366,0.03%,0.07%,0.12%,0.53%,$120K,$1.4M
DCB/USDT Decubate Token,$0.04422,1y,146,146,146,0%,-0.01%,0.04%,-0.86%,$788K,$17.0M
GTA6/WETH GTA 6,$0.01074,1y,22,22,22,0%,0%,24.37%,23.82%,$148K,$1.0M
ROKO/WETH ROKO,$0.044615,1y,54,54,54,0%,2.61%,15.73%,26.87%,$650K,$9.4M
STRDY/WETH Sturdy Token,$1.79,10mo,117,117,117,0%,-0.24%,0.55%,-3.45%,$1.4M,$33.1M
SMURFCAT/WETH Real Smurf Cat,$0.047031,1y,56,56,56,0%,1.70%,1.06%,1.37%,$1.2M,$7.0M
BRETT/WETH Brett,$0.056668,8mo,74,74,74,-0.42%,4.10%,2.68%,-6.35%,$529K,$6.6M
APES/WETH ApeScreener,$0.07972,6mo,53,53,53,0.35%,0.35%,0.41%,29.24%,$548K,$7.9M
TRUMP/WETH MAGA,$1.68,5mo,96,96,96,0%,0.96%,2.45%,3.71%,$642K,$25.8M
BabyDoge/WBNB Baby Doge Coin,$0.083220,7mo,109,109,109,0%,0.71%,1.13%,-1.00%,$4.8M,$527.3M
𝕏/WETH Free Speech,$0.004311,1mo,78,78,78,-0.65%,-1.19%,-14.46%,-12.80%,$192K,$4.0M
$MaxETH/WETH $MaxETH,$0.041459,6mo,51,51,51,0%,-0.37%,-5.54%,-11.53%,$496K,$14.5M
EARLY/WETH EARLY Token,$0.001766,8mo,74,74,74,0%,0.02%,-2.05%,-13.61%,$102K,$196K
WAT/WETH Wat,$0.054383,6mo,54,54,54,0%,-0.28%,2.63%,7.54%,$369K,$1.8M
melo/WETH melo,$0.068554,3mo,36,36,36,0%,-0.52%,3.73%,9.25%,$124K,$351K
MOLI/WBNB LOVE MOLI,$0.1371,6mo,27,27,27,2.31%,2.31%,1.00%,-1.09%,$342K,$2.4M
COSMIC/WETH Cosmic Network,$0.1065,3mo,90,90,90,0%,0.55%,1.98%,12.48%,$334K,$10.6M
AGX/WETH AGIX,$0.06607,3mo,75,75,75,0%,0.34%,2.19%,14.64%,$535K,$6.6M
BMX/WBNB BitMinerX,$0.007283,11mo,6,6,6,0%,0.80%,0.13%,0%,$134K,$536K
LMI/WETH Lockheed Martin Inu,$0.001346,1y,37,37,37,-10.74%,8.06%,-1.29%,25.58%,$243K,$1.3M
COR/WETH Cortensor,$0.01571,3mo,40,40,40,0%,0%,4.05%,-1.41%,$737K,$7.9M
BCAT/WETH BananaCat,$0.006988,1y,90,90,90,0%,2.11%,2.63%,23.32%,$572K,$6.6M
47/SOL President Trump,$0.003545,2mo,"3,317","3,317","3,317",0.39%,-1.05%,5.78%,12.17%,$504K,$2.9M
MATT/WETH Matt Furie,$0.051885,5mo,79,79,79,0%,0.94%,4.70%,-8.70%,$249K,$788K
DMP/WETH dMarketplace Token,$0.056300,2mo,57,57,57,0%,0%,-16.62%,-13.32%,$116K,$554K
SP00GE/SOL SP00GE,$0.01020,21h,"15,471","15,471","15,471",3.77%,18.87%,-21.11%,426%,$475K,$10.2M
NAI/USDT Nuklai Token,$0.006113,8mo,56,56,56,0%,-1.55%,3.73%,-13.96%,$286K,$3.2M
BOKZ/WETH BOKZ,$265.75,27d,51,51,51,0%,0.33%,0.09%,-1.24%,$314K,$2.6M
WAI/WETH Wiener AI,$0.045597,4mo,42,42,42,-1.45%,-1.45%,-1.77%,24.18%,$156K,$2.6M
CAH/USDT Moon Tropica,$12.60,2y,76,76,76,0%,0.87%,-4.04%,8.77%,$412K,$36.2M
MXD/WBNB Denarius,$0.053002,8mo,6,6,6,0%,0%,-0.37%,-1.88%,$135K,$287K
BabyTrump/WBNB Baby Trump,$0.001022,10mo,16,16,16,0%,0%,-0.18%,-0.35%,$189K,$484K
BOSS/WBNB Boss Token,$0.082955,3y,4,4,4,0%,0.23%,0.02%,0.02%,$1.0M,$1.2M
BabyDragon/WBNB Baby Dragon,$0.0123697,11mo,8,8,8,0%,0.53%,0.03%,-1.82%,$105K,$132K
PLUG/WETH Beraplug,$0.002800,10mo,20,20,20,0%,0%,0.29%,-0.32%,$1.1M,$8.7M
GLUTEU/WETH Gluteus Maximus by Virtuals,$0.006973,1mo,21,21,21,0%,5.96%,7.65%,1.41%,$140K,$257K
DMT/WETH DMT,$40.36,1y,47,47,47,0%,0.54%,-0.89%,-3.04%,$2.6M,$10.7M
XAI/WETH Xspectra Ai,$0.06710,3mo,46,46,46,0%,0%,10.53%,-13.52%,$122K,$609K
SNSY/WETH Sensay,$0.005092,9mo,81,81,81,0%,-1.09%,-3.13%,-6.31%,$828K,$22.9M
BSCS/WBNB BSCS Token,$0.004286,3y,83,83,83,0%,-0.06%,-0.06%,-0.05%,$103K,$1.0M
DOGEMOB/WBNB DOGEMOB,$0.0001978,9mo,2,2,2,0%,0%,-0.61%,-0.61%,$278K,$197K
CAT/WBNB Simons Cat,$0.043408,4mo,77,77,77,0%,1.86%,1.35%,-2.65%,$336K,$230.1M
X314/WBNB X314,$0.02943,1mo,121,121,121,0%,-0.06%,-1.61%,-10.14%,$166K,$2.0M
BUBSY/WETH Bubsy AI,$0.04445,8mo,30,30,30,0%,0%,-6.38%,-8.24%,$404K,$2.8M
YAI/WETH Ÿ,$0.02051,9mo,35,35,35,0%,0%,2.27%,14.37%,$776K,$2.0M
PROOF/WETH PROOF,$0.1848,1y,65,65,65,0%,0.18%,-0.58%,-12.03%,$1.0M,$1.8M
SYNK/WETH Synk,$0.04262,4mo,44,44,44,0%,0%,-2.35%,3.67%,$461K,$4.2M
RIZO/SOL HahaYes,$0.042155,5mo,"2,979","2,979","2,979",0.34%,0.66%,7.28%,6.07%,$763K,$9.0M
PIRATE/WBNB PirateCash,$0.02329,2mo,172,172,172,0%,0.13%,0.04%,0.65%,$135K,$1.4M
HOPE/WETH History of Pepe,$0.001480,7mo,39,39,39,0%,0.81%,2.10%,22.04%,$176K,$1.4M
LOOPIN/WETH LooPIN,$1.28,2mo,53,53,53,0%,-1.38%,-4.59%,-8.21%,$1.3M,$26.1M
PEPO/WETH Peepo,$0.053157,7mo,53,53,53,-0.09%,-0.09%,-7.42%,-10.86%,$272K,$1.3M
cbBTC/WETH Coinbase Wrapped BTC,"$96,641.05",3mo,"6,985","6,985","6,985",-0.13%,-0.18%,0.10%,-0.23%,$388K,$460.2M
MACHI/USDB MACHI,$0.08323,3mo,5,5,5,0%,0%,0%,-0.43%,$1.4M,$2.8M
AI/WETH Any Inu,$0.059357,1y,52,52,52,0%,0%,-0.25%,-10.44%,$285K,$2.5M
JESUS/WETH Jesus Coin,$0.076734,1y,95,95,95,0%,0.34%,-0.96%,-5.49%,$1.9M,$10.5M
DRAFT/WETH Draft,$0.0009762,24d,78,78,78,0%,-0.86%,4.96%,-28.43%,$175K,$976K
BYTE/WETH Byte,$0.056505,1y,77,77,77,0%,0%,0.90%,-7.85%,$889K,$6.0M
FLOG/WETH Pepe The Flog,$0.061008,9h,743,743,743,-3.72%,-8.17%,-46.58%,"1,129%",$19K,$42K
eVa/WETH eVa-ai,$0.02075,3mo,32,32,32,0%,0.23%,-0.26%,-3.09%,$280K,$1.6M
DINERO/WETH Dinero Governance Token,$0.07831,5mo,27,27,27,0%,0%,-0.47%,-1.95%,$4.7M,$49.6M
SHEZMU/WETH Shezmu,$2.38,1y,69,69,69,0%,6.33%,8.52%,9.94%,$238K,$2.7M
CHIB/WETH Chiba,$0.054529,2mo,40,40,40,0%,1.93%,8.52%,-8.55%,$153K,$905K
Minidoge/WETH Minidoge,$0.051664,27d,122,122,122,0%,-2.29%,-12.46%,-5.31%,$98K,$700K
SHIBC/WETH Shiba Classic,$0.082346,1mo,97,97,97,0%,4.69%,-3.27%,5.46%,$245K,$1.4M
Build/WETH BuildAI,$0.2703,2mo,33,33,33,0%,1.20%,4.65%,3.56%,$219K,$2.3M
DEGEN/WETH Degen,$0.01028,5mo,"3,105","3,105","3,105",-0.25%,-0.15%,5.20%,1.28%,$264K,$179.1M
THE/ETH THENA,$1.49,-,131,131,131,0%,0.20%,-0.94%,-8.36%,$855K,$135.3M
ESTEE/WETH ESTEE,$0.055291,3mo,24,24,24,0%,0%,0.32%,-1.90%,$261K,$2.2M
VYPER/DRAGONX VYPER.WIN,$0.003771,1mo,62,62,62,0%,0.60%,3.92%,2.84%,$1.0M,$2.4M
WEL/WETH Welshare Health Token,$0.05680,2mo,73,73,73,-0.05%,-0.64%,-5.15%,14.28%,$605K,$15.2M
TURBO/WETH Turbo,$0.009338,1y,43,43,43,0%,1.07%,2.14%,-2.14%,$1.6M,$644.3M
ORX/TITANX Ouroboros,$0.04179,2mo,31,31,31,0%,0.42%,1.11%,-2.74%,$118K,$1.4M
BIAI/WETH BlockInsightAI,$0.01533,2mo,34,34,34,0%,-0.51%,21.83%,6.53%,$190K,$1.5M
USPEPE/WETH AMERICAN PEPE,$0.097520,5mo,46,46,46,0%,-0.62%,-4.95%,80.26%,$113K,$316K
OX/WETH OX Coin,$0.02658,10mo,68,68,68,0%,0.56%,-0.25%,-4.62%,$663K,$92.6M
D.O.G.E/WETH Department Of Government Efficiency,$0.054901,3mo,57,57,57,0%,-0.06%,1.26%,20.94%,$177K,$490K
CAI/WETH ChasmAI,$0.08061,2mo,27,27,27,0%,-6.51%,-5.78%,-5.88%,$1.9M,$1.8M
DESCI/SUI SUI Desci Agents,$0.01596,11d,"7,198","7,198","7,198",1.57%,-2.61%,-9.90%,-9.86%,$168K,$7.9M
VIRTU/WETH Virtu Network,$0.01057,1mo,33,33,33,0%,0%,12.07%,-2.33%,$151K,$941K
MUMU/WETH Mumu,$0.084762,9mo,76,76,76,0.28%,0.28%,1.11%,-18.68%,$243K,$3.2M
SOR/WETH Sorra,$0.006767,20d,36,36,36,0%,0.46%,0.83%,-1.67%,$137K,$524K
WMC/WETH Wrapped MistCoin,$25.74,2y,31,31,31,0%,-2.52%,-1.03%,-3.38%,$1.4M,$12.4M
GOU/WETH Gou,$0.0007521,4mo,43,43,43,0%,0.96%,-2.09%,0.23%,$227K,$752K
CRAI/WETH Cryptify AI,$0.008033,3mo,77,77,77,0%,-0.37%,0%,7.67%,$2.4M,$5.8M
TATSU/WETH Taτsu,$9.53,10mo,19,19,19,0%,0.59%,-1.82%,-3.08%,$761K,$8.0M
ASTRA/WETH AstraAI,$2.82,1y,25,25,25,0%,0.49%,1.32%,10.47%,$561K,$28.2M
DOGGO/WETH Doggo,$0.052249,3mo,14,14,14,0%,0.63%,0.22%,-0.72%,$273K,$946K
TSAI/WETH TesseractAI,$0.0008191,3mo,40,40,40,0%,0.94%,-4.47%,-6.92%,$157K,$815K
FIGHT/WETH Fight to MAGA,$0.003018,5mo,33,33,33,0%,4.25%,10.07%,6.57%,$673K,$2.9M
LILY/WETH Lily's Coin,$0.08378,2mo,34,34,34,0%,0%,-4.91%,0.42%,$151K,$1.4M
UNX/XRP Unchain X,$0.02783,4mo,74,74,74,0%,0.21%,-0.13%,-1.72%,$145K,$4.2M
THE/BTCB THENA,$1.50,-,103,103,103,0%,0.27%,-1.11%,-8.17%,$408K,$135.5M
DEPLOY/WETH Deployyyyer,$0.001481,3mo,26,26,26,0%,-6.92%,-14.74%,-13.53%,$170K,$1.4M
BIAO/WETH Biaoqing,$0.001097,6mo,57,57,57,0%,0.36%,2.36%,5.28%,$343K,$1.0M
XRP/WETH HarryPotterObamaPacMan8Inu,$0.007296,1y,21,21,21,0%,0.89%,-2.73%,-3.89%,$190K,$596K
VSTR/WETH Vestra DAO,$0.009352,2mo,33,33,33,0%,0.17%,0.78%,2.11%,$1.7M,$4.4M
$0xGas/WETH 0xGasless,$0.4447,1y,24,24,24,0%,-0.24%,2.82%,10.78%,$444K,$4.8M
CETI/wTAO Tao Ceτi,$0.4482,9mo,24,24,24,0%,0.97%,5.04%,2.97%,$2.4M,$9.4M
THE/USDC THENA,$1.49,-,156,156,156,0%,0%,-0.94%,-8.51%,$190K,$135.3M
DAETA/WETH DAETA,$0.007561,1mo,25,25,25,0%,-1.75%,-0.89%,-13.26%,$148K,$489K
HEMULE/WETH Hemule,$0.004002,1y,31,31,31,0%,0%,2.67%,5.63%,$749K,$3.9M
SAITAMA/WETH Saitama Inu,$0.003007,5mo,30,30,30,7.34%,7.34%,6.63%,-14.60%,$222K,$2.6M
GNUS/WETH Genius Token & NFT Collections,$8.06,9mo,25,25,25,0%,0%,0.17%,2.70%,$1.3M,$8.5M
TOWER/EDU TOWER,$0.002080,1y,34,34,34,0%,-0.01%,2.25%,-0.17%,$120K,$3.6M
NEMO/WETH Nemo Sum,$0.003830,8mo,107,107,107,0%,0.09%,0.57%,-16.43%,$267K,$3.4M
OGGIE/WETH Oggie,$0.001945,2mo,33,33,33,0%,0%,-1.88%,-2.72%,$216K,$1.9M
DOG/WETH The Doge NFT,$0.003994,1y,20,20,20,0%,-2.38%,-1.26%,-1.49%,$12.6M,$54.1M
ERIC/WETH ERIC,$0.007602,8mo,110,110,110,-4.92%,-0.96%,-3.02%,-10.06%,$156K,$760K
KFK/SUI Kung Fu Kangaroo,$0.057076,17h,"1,648","1,648","1,648",-1.59%,-3.54%,-18.99%,74.27%,$25K,$70K
LNKR/WPLS Linker,$1.13,18d,"3,813","3,813","3,813",-0.01%,0.19%,5.45%,-11.88%,$123K,$1.1M
SATO/WETH Atsuko Sato,$0.0007155,4mo,39,39,39,0%,0%,3.99%,20.01%,$193K,$713K
BABYCATE/WBNB BabyCate,$0.062159,3mo,23,23,23,0%,0.82%,0.76%,-0.08%,$142K,$142K
PERQ/USDC PERQ,$0.003625,28d,32,32,32,0%,0%,0.62%,19.94%,$877K,$1.3M
MAZZE/WETH MAZZE,$0.001895,9mo,42,42,42,0%,1.76%,-7.10%,5.16%,$317K,$4.9M
EEFI/WETH Elastic Finance Token,$197.83,8mo,18,18,18,0.20%,0.49%,-0.61%,-2.42%,$1.0M,$11.7M
DFNDR/WETH Defender Bot,$0.03304,11mo,22,22,22,0%,0%,-1.58%,15.36%,$375K,$2.7M
OPTION/WETH OptionsAI,$0.08361,22d,49,49,49,0%,0%,1.66%,12.93%,$162K,$710K
YES/WETH Yes Chad,$0.005171,1mo,50,50,50,0%,0%,-0.93%,23.52%,$480K,$5.1M
FOFAR/WETH Fofar,$0.057514,8mo,59,59,59,0%,0.25%,-3.39%,2.14%,$430K,$3.1M
SUCHIR/SOL JUSTICE FOR SUCHIR,$0.002149,20d,"2,042","2,042","2,042",-1.08%,-3.56%,-17.14%,-18.04%,$351K,$2.1M
SHARP/WETH Sharp AI,$0.001766,2mo,25,25,25,0%,0%,-0.06%,-14.54%,$165K,$1.7M
VC/VINU VinuChain,$0.02176,8mo,150,150,150,0%,-0.15%,-0.90%,1.24%,$131K,$4.9M
MONKAS/WETH Monkas,$0.052301,7mo,72,72,72,0%,0.24%,-4.83%,12.87%,$203K,$968K
APED/WETH Aped,$1.38,1y,17,17,17,0%,0%,-0.60%,-0.95%,$401K,$1.3M
WOULD/SOL would,$0.2542,5mo,"5,973","5,973","5,973",-0.99%,3.13%,0.46%,-6.16%,$3.6M,$254.1M
Anon/WAGMI HeyAnon,$4.49,14d,"2,185","2,185","2,185",5.29%,17.54%,35.01%,221%,$976K,$87.2M
eliza/SOL ai16zeliza,$0.007374,1mo,"3,988","3,988","3,988",0.43%,-3.42%,-5.81%,-6.26%,$874K,$7.0M
SCANA/SOL SCANA,$0.001238,1mo,"3,646","3,646","3,646",1.53%,20.66%,33.71%,-21.78%,$151K,$1.2M
RIKO/WBNB RIKO,$0.006551,2mo,47,47,47,0%,0%,0.02%,-1.99%,$293K,$3.7M
AITAX/WETH AITaxBot,$0.01172,8mo,12,12,12,0%,4.46%,4.14%,0.84%,$266K,$1.1M
SHOGUN/TITANX SHOGUN,$0.003425,1mo,21,21,21,0%,1.41%,1.75%,5.57%,$712K,$6.8M
ESPORT/WETH Esportplayer,$0.0005275,1mo,29,29,29,0%,0%,1.78%,-8.87%,$134K,$527K
JUP/SOL Jupiter,$0.9438,4mo,"3,772","3,772","3,772",-0.15%,-0.67%,2.34%,3.23%,$391K,$1.27B
triangle/WETH dancing triangle,$0.0007716,3mo,61,61,61,0%,0%,0.91%,23.65%,$139K,$717K
BLAST/WETH Blast,$0.009318,-,46,46,46,0%,0.25%,2.31%,0.71%,$150K,$223.1M
CNCT/WETH Connect,$0.01853,4mo,26,26,26,0%,0%,-0.26%,9.21%,$221K,$1.4M
BTCMTX/WETH Bitcoin Minetrix,$0.0005435,8mo,3,3,3,0%,0%,-1.19%,-0.14%,$137K,$1.8M
DODO/WETH DODO,$0.2303,9mo,37,37,37,0%,0%,-5.40%,-1.77%,$336K,$2.3M
SP00GE/SOL SP00GE,$0.01020,21h,"15,471","15,471","15,471",3.77%,18.87%,-24.56%,426%,$475K,$10.2M
FNX/BLAST Fenix,$0.06665,1mo,11,11,11,0%,0.42%,1.63%,1.38%,$141K,$1.2M
RUNNER/WETH Homestar Runner,$0.001974,2mo,15,15,15,0%,0%,1.05%,-8.51%,$182K,$1.9M
BET/USDT BET,$0.002067,7mo,"2,153","2,153","2,153",-0.02%,0.25%,0.78%,1.18%,$270.9M,$1.60B
ZEUS/SOL ZEUS,$0.006805,7d,"4,939","4,939","4,939",-0.22%,6.63%,-5.21%,14.90%,$353K,$6.8M
lou/SOL lou,$0.001217,12d,"3,130","3,130","3,130",-1.22%,-2.78%,0.96%,-16.21%,$307K,$1.2M
BURGERS/WETH Burgers? by Stonetoss,$0.02522,19d,18,18,18,0%,0%,0%,-5.07%,$478K,$1.0M
Evo/WETH Evo(AI),$0.03283,6d,"2,273","2,273","2,273",-0.19%,-2.70%,-6.98%,-10.17%,$764K,$32.8M
WAM/BUSD WAM,$0.002576,3y,64,64,64,0%,0.02%,-0.14%,-6.92%,$123K,$1.7M
PUSHEEN/SOL Pusheen ,$0.0004388,12d,"5,330","5,330","5,330",1.72%,4.88%,-7.74%,-56.83%,$105K,$438K
OMNIT/WETH OmniTensor,$0.0009917,27d,56,56,56,-1.99%,-3.20%,-7.65%,-32.82%,$98K,$383K
ponzi/SOL ponzi dot market,$0.002494,1mo,"2,676","2,676","2,676",-0.36%,-1.09%,-11.65%,12.50%,$292K,$2.4M
BLAST/WETH Blast,$0.009188,6mo,14,14,14,0%,0%,0.43%,-1.12%,$126K,$220.0M
BABYLONG/WBNB BABYLONG,$0.062584,1y,6,6,6,0%,0.59%,0.01%,-0.98%,$222K,$216K
FATE/WBNB Fate Token,$0.056248,1y,3,3,3,0%,0%,-0.67%,-0.67%,$176K,$624K
KTB/USDT Kitty City Blast,$0.005671,15d,26,26,26,0%,-0.17%,-0.24%,-4.89%,$93K,$56.3M
SCF/SOL Smoking Chicken Fish,$0.02575,5mo,"3,333","3,333","3,333",-0.44%,4.33%,4.88%,19.80%,$2.1M,$25.7M
AMEN/WETH Project Nostradamus,$0.2356,28d,"3,325","3,325","3,325",-6.61%,-10.38%,30.62%,-14.79%,$356K,$4.9M
KOL/SOL KeyOfLife.ai - the AI ETF on Multichain,$1.00,11mo,4,4,4,0%,0%,-0.46%,-0.59%,$793K,$2.2M
KOL/DOGE KeyOfLife.ai - the AI ETF on Multichain,$0.9972,9mo,2,2,2,0%,0%,-0.28%,-0.28%,$320K,$2.2M
ToDing/WBNB ToDing,$0.001561,5mo,7,7,7,0%,0%,0.19%,-0.63%,$118K,$105K
DCB/USDT Decubate Token,$0.04435,9mo,21,21,21,0%,0%,0%,0.38%,$151K,$17.0M
DESTRUCT/SOL DR DESTRUCTION,$0.002502,16d,87,87,87,0%,-0.70%,14.28%,7.28%,$109K,$2.3M
METAV/SOL METAVERSE,$0.06074,9d,"5,456","5,456","5,456",-0.05%,3.59%,15.44%,5.14%,$132K,$60.7M
bPEPE/WETH Blastin Pepes,$0.2382,6mo,3,3,3,0%,0%,0%,0.34%,$2.4M,$2.3M
BUS/WETH BUS,$0.002733,7mo,1,1,1,0%,0%,0%,0%,$480K,$273K
sDAO/WBNB SniperDAO,$0.03554,1y,2,2,2,0%,0%,0%,-0.99%,$105K,$327K
NMT/USDC NetMind Token,$3.12,10mo,15,15,15,0%,0%,0%,2.19%,$159K,$134.2M
$LOTTO/SOL Just a LOTTO,$0.009341,1mo,"4,047","4,047","4,047",-0.05%,6.42%,0.88%,75.42%,$406K,$9.3M
ALCH/WETH Alchemist Accelerate,$0.003019,9d,"2,734","2,734","2,734",0.06%,3.89%,17.72%,9.57%,$312K,$3.3M
BLAST/WETH Blast,$0.009311,6mo,203,203,203,0%,0.07%,3.02%,0.47%,$78K,$222.9M
ELK/WBNB Elk,$0.08242,2y,62,62,62,0%,0.24%,1.59%,0.24%,$98K,$1.3M
QUASAR/SOL Quasar,$0.004551,1mo,"2,166","2,166","2,166",0%,-0.88%,-18.54%,9.63%,$430K,$4.5M
GURU/WETH GURU Token,$0.01469,6mo,80,80,80,0%,-1.37%,-1.94%,-3.74%,$1.1M,$3.2M
PIX/SOL PIXOCRACY,$0.003831,15d,"7,129","7,129","7,129",-0.29%,-6.57%,-8.56%,-50.10%,$274K,$3.8M
Ban/SOL Comedian,$0.06327,2mo,"2,763","2,763","2,763",0.36%,1.85%,13.57%,12.96%,$2.8M,$63.2M
LUM/WETH luminous,$10.98,1mo,"1,612","1,612","1,612",0%,-1.51%,-19.17%,20.58%,$714K,$10.9M
CAT/WBNB Simons Cat,$0.043405,4mo,336,336,336,0%,1.92%,1.92%,-2.19%,$89K,$229.8M
FUXI/WBNB FUXI DRAGON,$0.0001188,6d,507,507,507,0%,-7.31%,8.61%,-66.44%,$39K,$97K
CATE/WETH Cate,$0.0007984,3mo,32,32,32,0%,-1.63%,-2.29%,2.84%,$187K,$798K
SXCH/WBNB Solarx L1,$0.01330,7mo,116,116,116,0%,-0.73%,-0.74%,-5.16%,$95K,$5.3M
LIZ/WETH Lizcoin,$0.002161,2mo,43,43,43,0%,0.71%,3.02%,-22.10%,$1.2M,$3.1M
PIRATE/WETH Pirate Nation Token,$0.1459,6mo,38,38,38,0%,0.24%,1.40%,0.89%,$1.4M,$31.6M
AIKO/SOL Aiko,$0.003399,1mo,"3,389","3,389","3,389",-0.91%,-13.20%,-7.82%,-33.93%,$365K,$3.3M
GONDOLA/WETH Gondola,$0.054536,6mo,29,29,29,0.64%,0.64%,7.23%,2.17%,$232K,$1.9M
SEDUX/SOL SeduxAI,$0.0005342,30d,"4,973","4,973","4,973",4.16%,9.57%,-25.04%,683%,$99K,$524K
MOCA/USDT Moca,$0.2750,5mo,147,147,147,-0.39%,0.88%,3.62%,4.39%,$3.9M,$439.6M
MDAI/WETH MindAI,$5.02,9mo,36,36,36,0%,0%,-1.70%,8.18%,$618K,$4.7M
UNAI/WETH Unknown AI,$0.004368,3mo,16,16,16,0%,-0.48%,6.22%,19.70%,$130K,$436K
SNIBBU/WETH Snibbu,$0.003133,1y,57,57,57,0%,0%,-6.68%,-2.07%,$234K,$1.3M
CFGI/WETH CFGI,$0.0004050,1d,27,27,27,0%,0%,-10.25%,-18.14%,$365K,$3.4M
BGG1/SOL Blinks.gg,$0.01019,4mo,"2,935","2,935","2,935",0%,-3.43%,10.79%,5.89%,$958K,$10.1M
BWS/WETH Blockchain Web Services,$0.01471,1mo,21,21,21,0%,3.14%,1.88%,11.93%,$192K,$1.4M
arc/SOL AI Rig Complex,$0.3242,23d,"1,519","1,519","1,519",0%,-5.17%,9.06%,-8.14%,$1.5M,$324.2M
XPAY/WETH X Payments,$0.0005047,1y,56,56,56,0%,0.63%,18.30%,28.66%,$147K,$499K
VIRTUAL/WETH Virtual Protocol,$4.20,1d,"12,469","12,469","12,469",-0.34%,-1.91%,-0.94%,-8.79%,$23K,$2.040B
VADER/WETH VaderAI by Virtuals,$0.1068,1mo,"3,033","3,033","3,033",0.05%,-3.24%,5.13%,-17.13%,$934K,$106.4M
e/acc/SOL Effective accelerationism,$0.004766,2mo,"2,429","2,429","2,429",-0.55%,-3.55%,-16.59%,-15.96%,$655K,$4.7M
ZEREPY/SOL ZerePy,$0.002170,1mo,"2,194","2,194","2,194",-2.33%,4.47%,0.60%,13.83%,$307K,$2.1M
KIKI/WETH KIKICat,$0.0003369,8d,805,805,805,0%,42.37%,109%,525%,$53K,$330K
JIM/SOL Naked Jim,$0.001889,2mo,"1,541","1,541","1,541",-0.34%,-6.84%,-4.58%,28.54%,$178K,$1.8M
USDC/USDT USD Coin,$0.9972,11mo,"44,185","44,185","44,185",-0.03%,-0.02%,0.01%,-0.10%,$71K,$25.2M
GAYCOIN/SOL Zerebro Token Of Transformation,$0.003468,1mo,"2,417","2,417","2,417",-1.21%,-1.08%,-1.78%,-13.80%,$530K,$3.4M
flork/SOL FLORK,$0.005827,11d,"4,643","4,643","4,643",-0.83%,-1.05%,1.81%,0.01%,$392K,$5.4M
XERAI/SOL Xerox Player Agent,$0.0005071,3d,"4,167","4,167","4,167",-0.28%,-7.02%,-21.95%,-59.24%,$107K,$507K
$URO/$RIF Urolithin A,$0.05865,1mo,"2,264","2,264","2,264",-1.87%,-2.46%,-14.58%,-26.19%,$521K,$58.6M
1CAT/WETH Bitcoin Cats,$0.001493,1y,33,33,33,0%,0%,2.42%,1.74%,$1.2M,$7.4M
LOCKIN/WETH LOCK IN ON BASE,$0.01689,8d,"1,766","1,766","1,766",0.10%,-0.12%,-5.66%,-11.32%,$1.2M,$16.8M
NPC/WBNB Non-Playable Coin,$0.02225,2mo,73,73,73,0%,0.19%,1.70%,-8.69%,$96K,$197K
KIZUNA/WETH KIZUNA,$0.088870,1y,47,47,47,0%,0.19%,0.02%,0.43%,$377K,$8.5M
8BALL/SOL DEGEN8BALL,$0.001303,1mo,"3,009","3,009","3,009",-6.79%,-13.75%,3.45%,-30.04%,$222K,$1.2M
